unique_id,timestamp,tag,y_pred,y_proba,query,model_version,runtime
1ddb2607-2159-4ec2-ae4f-9d0565d65841,1621014489.921886,all,[249026.82908],None,2019-11-06,0.1,000:00:00
00035d02-0e1b-4165-8298-e091d272d03f,1621014489.925044,all,[250151.28272],None,2019-11-07,0.1,000:00:00
d000dff7-a39c-4b4b-aeea-a33814110912,1621014489.9281762,all,[251648.7716],None,2019-11-08,0.1,000:00:00
5f810fd0-e39e-447d-81e1-953c2b5a8256,1621014489.9314141,all,[257837.45012],None,2019-11-09,0.1,000:00:00
6227f2b3-fb9c-46f5-8bef-d03c69c4457e,1621014489.934604,all,[248112.14028],None,2019-11-10,0.1,000:00:00
99ed124a-cbeb-4930-b2dc-c6780ef5ecec,1621014489.93774,all,[246149.20824],None,2019-11-11,0.1,000:00:00
afd1dfc3-800f-45ac-acc3-879f1c4a991c,1621014489.940881,all,[253522.16744],None,2019-11-12,0.1,000:00:00
45929559-d344-4739-b203-393858b10544,1621014489.944226,all,[251093.76256],None,2019-11-13,0.1,000:00:00
6bf26f6d-5f9d-4b57-856d-982b5b402a65,1621014489.947362,all,[288176.62764],None,2019-11-14,0.1,000:00:00
ca625c9c-6c8d-41a6-a0d3-85608de76d54,1621014489.9506419,all,[293010.44],None,2019-11-15,0.1,000:00:00
ecd27524-4203-4121-93d8-16699bd488dc,1621014489.953745,all,[318125.10308],None,2019-11-16,0.1,000:00:00
9a9cb9a3-42eb-45e5-be6e-56113d86b417,1621014489.957011,all,[281418.50444],None,2019-11-17,0.1,000:00:00
beb03529-d66e-4834-b7f3-1429ce437e6e,1621014489.960139,all,[281562.93404],None,2019-11-18,0.1,000:00:00
02073711-0e14-4bc3-b833-21eac496f955,1621014489.963192,all,[323535.79308],None,2019-11-19,0.1,000:00:00
94dee69c-b808-4e6f-ae27-1ecfd65cfb38,1621014489.966296,all,[320682.39556],None,2019-11-20,0.1,000:00:00
d0908f36-8360-49ab-8bfd-4b2f6ffe0880,1621014489.969507,all,[322342.77428],None,2019-11-21,0.1,000:00:00
75fdb58f-21a1-4df7-af5f-4b7e8cd5dd58,1621014489.972818,all,[322255.93268],None,2019-11-22,0.1,000:00:00
3f835e17-a921-4594-a419-bc25b065301e,1621014489.9763148,all,[316932.08428],None,2019-11-23,0.1,000:00:00
787a335f-2a40-439a-a463-4fafb5afc6db,1621014489.979349,all,[316932.08428],None,2019-11-24,0.1,000:00:00
3c36a40a-04f5-4cf1-b89d-7f26273550d6,1621014489.982445,all,[322342.77428],None,2019-11-25,0.1,000:00:00
422988b9-21c3-452c-a7ce-3442271eb910,1621014489.9854348,all,[320752.50348],None,2019-11-26,0.1,000:00:00
2d0a27af-c377-46ea-8a7e-226c07841d49,1621014489.9884238,all,[319636.55868],None,2019-11-27,0.1,000:00:00
4700ccb0-546c-4dda-9fbd-fcfc6630849d,1621014489.9915662,all,[317467.57108],None,2019-11-28,0.1,000:00:00
2f6ffe67-7800-4986-836e-d72743e5780c,1621014489.9947531,all,[308201.64188],None,2019-11-29,0.1,000:00:00
f1c724f3-83bf-4a3d-9472-56651843d5d8,1621014489.997741,all,[316582.81264],None,2019-11-30,0.1,000:00:00
7bfca433-2ff2-4306-8b2e-afd302e846bf,1621014490.00073,united_kingdom,[208581.6709],None,2019-08-02,0.1,000:00:00
e0b1793e-13a8-42ff-b705-dffe18ea8c2a,1621014490.0029418,united_kingdom,[169734.5632],None,2019-08-03,0.1,000:00:00
a184d635-f3ef-42de-89d9-f4816f0cca60,1621014490.005128,united_kingdom,[182517.0893],None,2019-08-04,0.1,000:00:00
cc15b2d5-4d1b-49b8-ac86-21972f220779,1621014490.007401,united_kingdom,[182981.3213],None,2019-08-05,0.1,000:00:00
b1a0bd0b-b360-4523-957a-cd66fbdec88c,1621014490.0096278,united_kingdom,[183622.6618],None,2019-08-06,0.1,000:00:00
6c233c09-d93c-4cd5-9441-f630265f172f,1621014490.011803,united_kingdom,[172722.4946],None,2019-08-07,0.1,000:00:00
71ed08fd-a352-4bd3-94f2-c19bce7e1ae0,1621014490.014171,united_kingdom,[167494.4153],None,2019-08-08,0.1,000:00:00
c0d064b3-291b-45a1-8e4d-257f7f271407,1621014490.016333,united_kingdom,[161021.3933],None,2019-08-09,0.1,000:00:00
810af3a0-e822-49cb-93ed-14d1505232cc,1621014490.018511,united_kingdom,[164458.7023],None,2019-08-10,0.1,000:00:00
0aca2c2e-33e1-4c4b-b181-7350b02eca16,1621014490.020819,united_kingdom,[168012.6391],None,2019-08-11,0.1,000:00:00
43db2d21-14c5-4574-af60-c2ed33cd19f9,1621014490.0229912,united_kingdom,[168012.6391],None,2019-08-12,0.1,000:00:00
bf0d4b1d-d6ee-45bb-abd9-9afdc3aa46da,1621014490.025163,united_kingdom,[167950.1064],None,2019-08-13,0.1,000:00:00
cb9dd157-2181-4363-a023-d9659fe4d26b,1621014490.027336,united_kingdom,[165812.5336],None,2019-08-14,0.1,000:00:00
41459a00-3405-4b84-a1ad-a88c26a4f00f,1621014490.029512,united_kingdom,[162980.4877],None,2019-08-15,0.1,000:00:00
b66f4f4c-7143-41cd-8acd-ea151d53facd,1621014490.031769,united_kingdom,[161333.8071],None,2019-08-16,0.1,000:00:00
bd46e472-855d-409a-8b31-b19e3b489388,1621014490.033946,united_kingdom,[165125.773],None,2019-08-17,0.1,000:00:00
048285c2-5b6b-4fa1-9181-f87e05653ae6,1621014490.036122,united_kingdom,[165125.773],None,2019-08-18,0.1,000:00:00
d96bc2a0-c1f5-470b-abad-ce826f70e6ce,1621014490.038301,united_kingdom,[160426.2511],None,2019-08-19,0.1,000:00:00
3403451b-e943-4344-a772-643d790bd48a,1621014490.04048,united_kingdom,[163226.7627],None,2019-08-20,0.1,000:00:00
cc8a6c08-6a59-432e-9340-03347f68081b,1621014490.042654,united_kingdom,[163226.7627],None,2019-08-21,0.1,000:00:00
1fe2f459-e3ac-400b-a393-14d6445de3af,1621014490.0449479,united_kingdom,[150725.8227],None,2019-08-22,0.1,000:00:00
361adb99-0824-41c3-b7ce-82700bbe7639,1621014490.0471308,united_kingdom,[160718.9087],None,2019-08-23,0.1,000:00:00
69f0eaf7-1322-486e-a721-ee173e861a46,1621014490.04931,united_kingdom,[150409.0387],None,2019-08-24,0.1,000:00:00
